No.,Time,Source,Destination,Protocol,Length,Info
318,32.875503,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TLSv1.2,146,Application Data
319,32.943855,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TCP,74,443  >  52750 [ACK] Seq=1089 Ack=3448 Win=1185 Len=0
334,39.664659,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TCP,1466,52750  >  443 [ACK] Seq=3448 Ack=1089 Win=515 Len=1392 [TCP segment of a reassembled PDU]
335,39.664659,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TLSv1.2,339,Application Data
336,39.734297,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TCP,74,443  >  52750 [ACK] Seq=1089 Ack=5105 Win=1198 Len=0
337,39.845386,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TLSv1.2,185,Application Data
338,39.886118,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TCP,74,52750  >  443 [ACK] Seq=5105 Ack=1200 Win=515 Len=0
340,40.677437,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TLSv1.2,168,Application Data
341,40.679788,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TLSv1.2,167,Application Data
342,40.748994,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TCP,74,443  >  52750 [ACK] Seq=1294 Ack=5198 Win=1198 Len=0
371,41.701135,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TLSv1.2,113,Application Data
372,41.701135,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TCP,74,"443  >  55177 [FIN, ACK] Seq=40 Ack=2 Win=278 Len=0"
373,41.701212,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TCP,74,55177  >  443 [ACK] Seq=2 Ack=41 Win=511 Len=0
374,41.701464,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TCP,74,"55177  >  443 [FIN, ACK] Seq=2 Ack=41 Win=511 Len=0"
375,41.776622,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TCP,74,443  >  55177 [ACK] Seq=41 Ack=3 Win=278 Len=0
376,42.272604,2a03:2880:f276:cd:face:b00c:0:167,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,TLSv1.2,154,Application Data
377,42.326907,2a0d:6fc2:5560:c200:bdce:1f2e:bc44:2269,2a03:2880:f276:cd:face:b00c:0:167,TCP,74,52750  >  443 [ACK] Seq=5198 Ack=1374 Win=514 Len=0
